subset_name,strategy,n_layers,layer_indices,layer_ids,ref_set,metric,k,auroc
single_l15,single,1,[1],[15],train_val,euclidean,9,0.7608859182055059
single_l15,single,1,[1],[15],train_val,euclidean,15,0.7644111411416272
single_l15,single,1,[1],[15],train_val,euclidean,31,0.7669481622942596
single_l15,single,1,[1],[15],train_val,euclidean,63,0.7682736409393257
single_l15,single,1,[1],[15],train_val,euclidean,127,0.7688850766317629
single_l15,single,1,[1],[15],train_val,cosine,1,0.7199093689815339
single_l15,single,1,[1],[15],train_val,cosine,3,0.7476851866837139
single_l15,single,1,[1],[15],train_val,cosine,5,0.7555653918982342
single_l15,single,1,[1],[15],train_val,cosine,9,0.7616695528330286
single_l15,single,1,[1],[15],train_val,cosine,15,0.7647929243069154
single_l15,single,1,[1],[15],train_val,cosine,31,0.7670436485458577
single_l15,single,1,[1],[15],train_val,cosine,63,0.7682946802828983
single_l15,single,1,[1],[15],train_val,cosine,127,0.7688983476023239
single_l16,single,1,[2],[16],train,euclidean,1,0.7344983734969008
single_l16,single,1,[2],[16],train,euclidean,3,0.7563621356552137
single_l16,single,1,[2],[16],train,euclidean,5,0.7637734871902766
single_l16,single,1,[2],[16],train,euclidean,9,0.7693136318762239
single_l16,single,1,[2],[16],train,euclidean,15,0.7718487109356034
single_l16,single,1,[2],[16],train,euclidean,31,0.7736635970803865
single_l16,single,1,[2],[16],train,euclidean,63,0.7744854262085485
single_l16,single,1,[2],[16],train,euclidean,127,0.7748897052873489
single_l16,single,1,[2],[16],train,cosine,1,0.7339013416627554
single_l16,single,1,[2],[16],train,cosine,3,0.7580417226367153
single_l16,single,1,[2],[16],train,cosine,5,0.7649563838223632
single_l16,single,1,[2],[16],train,cosine,9,0.7700171551570667
single_l16,single,1,[2],[16],train,cosine,15,0.7721610642671025
single_l16,single,1,[2],[16],train,cosine,31,0.7737393387172473
single_l16,single,1,[2],[16],train,cosine,63,0.7744836459564
single_l16,single,1,[2],[16],train,cosine,127,0.7748952078848985
single_l16,single,1,[2],[16],val,euclidean,1,0.7521657576591303
single_l16,single,1,[2],[16],val,euclidean,3,0.767213743546586
single_l16,single,1,[2],[16],val,euclidean,5,0.7704526695690171
single_l16,single,1,[2],[16],val,euclidean,9,0.77249283853113
single_l16,single,1,[2],[16],val,euclidean,15,0.7734208354237808
single_l16,single,1,[2],[16],val,euclidean,31,0.7741572124488177
single_l16,single,1,[2],[16],val,euclidean,63,0.7745595494343653
single_l16,single,1,[2],[16],val,euclidean,127,0.7748803185032935
single_l16,single,1,[2],[16],val,cosine,1,0.7517236077618993
single_l16,single,1,[2],[16],val,cosine,3,0.7680527278318148
single_l16,single,1,[2],[16],val,cosine,5,0.7707687452459175
single_l16,single,1,[2],[16],val,cosine,9,0.7725574131317873
single_l16,single,1,[2],[16],val,cosine,15,0.7734051368366537
single_l16,single,1,[2],[16],val,cosine,31,0.7741183705837609
single_l16,single,1,[2],[16],val,cosine,63,0.7745372153619576
single_l16,single,1,[2],[16],val,cosine,127,0.7748557186554241
single_l16,single,1,[2],[16],train_val,euclidean,1,0.7283634627522699
single_l16,single,1,[2],[16],train_val,euclidean,3,0.7533764909611743
single_l16,single,1,[2],[16],train_val,euclidean,5,0.7617048341937885
single_l16,single,1,[2],[16],train_val,euclidean,9,0.7681820388742332
single_l16,single,1,[2],[16],train_val,euclidean,15,0.7711152470504459
single_l16,single,1,[2],[16],train_val,euclidean,31,0.7732622311414654
single_l16,single,1,[2],[16],train_val,euclidean,63,0.7742222725727881
single_l16,single,1,[2],[16],train_val,euclidean,127,0.774753435077441
single_l16,single,1,[2],[16],train_val,cosine,1,0.7277086536438524
single_l16,single,1,[2],[16],train_val,cosine,3,0.7553389761931735
single_l16,single,1,[2],[16],train_val,cosine,5,0.7631330819401512
single_l16,single,1,[2],[16],train_val,cosine,9,0.7689789444723172
single_l16,single,1,[2],[16],train_val,cosine,15,0.7715347391930603
single_l16,single,1,[2],[16],train_val,cosine,31,0.7733352214795514
single_l16,single,1,[2],[16],train_val,cosine,63,0.7742531842237291
single_l16,single,1,[2],[16],train_val,cosine,127,0.7747421062001327
single_l17,single,1,[3],[17],train,euclidean,1,0.7413075142824774
single_l17,single,1,[3],[17],train,euclidean,3,0.7628522876240108
single_l17,single,1,[3],[17],train,euclidean,5,0.7700532457233488
single_l17,single,1,[3],[17],train,euclidean,9,0.775358397125702
single_l17,single,1,[3],[17],train,euclidean,15,0.7778170871838029
single_l17,single,1,[3],[17],train,euclidean,31,0.7794015115959152
single_l17,single,1,[3],[17],train,euclidean,63,0.7801252650148085
single_l17,single,1,[3],[17],train,euclidean,127,0.780475489164738
single_l17,single,1,[3],[17],train,cosine,1,0.7407812070109567
single_l17,single,1,[3],[17],train,cosine,3,0.764488824871741
single_l17,single,1,[3],[17],train,cosine,5,0.7712196345627863
single_l17,single,1,[3],[17],train,cosine,9,0.776037158717571
single_l17,single,1,[3],[17],train,cosine,15,0.7781003091165093
single_l17,single,1,[3],[17],train,cosine,31,0.779494408389843
single_l17,single,1,[3],[17],train,cosine,63,0.7801518069559307
single_l17,single,1,[3],[17],train,cosine,127,0.7804919969573872
single_l17,single,1,[3],[17],val,euclidean,1,0.7581239379177522
single_l17,single,1,[3],[17],val,euclidean,3,0.7730922979818415
single_l17,single,1,[3],[17],val,euclidean,5,0.7764980821829128
single_l17,single,1,[3],[17],val,euclidean,9,0.7786081665021283
single_l17,single,1,[3],[17],val,euclidean,15,0.7795737105310006
single_l17,single,1,[3],[17],val,euclidean,31,0.7800449918270242
single_l17,single,1,[3],[17],val,euclidean,63,0.780275453559695
single_l17,single,1,[3],[17],val,euclidean,127,0.7804696628849794
single_l17,single,1,[3],[17],val,cosine,1,0.7576981339720662
single_l17,single,1,[3],[17],val,cosine,3,0.7738843483467931
single_l17,single,1,[3],[17],val,cosine,5,0.776829694605836
single_l17,single,1,[3],[17],val,cosine,9,0.7787251776206121
single_l17,single,1,[3],[17],val,cosine,15,0.7795303371150204
single_l17,single,1,[3],[17],val,cosine,31,0.7800087394196378
single_l17,single,1,[3],[17],val,cosine,63,0.7802372590590558
single_l17,single,1,[3],[17],val,cosine,127,0.7804343815242195
single_l17,single,1,[3],[17],train_val,euclidean,1,0.7354885173736425
single_l17,single,1,[3],[17],train_val,euclidean,3,0.7597057728721941
single_l17,single,1,[3],[17],train_val,euclidean,5,0.7678588421887391
single_l17,single,1,[3],[17],train_val,euclidean,9,0.7740866497272978
single_l17,single,1,[3],[17],train_val,euclidean,15,0.7770680865526226
single_l17,single,1,[3],[17],train_val,euclidean,31,0.7790603505478322
single_l17,single,1,[3],[17],train_val,euclidean,63,0.7799472397999643
single_l17,single,1,[3],[17],train_val,euclidean,127,0.7803800029131398
single_l17,single,1,[3],[17],train_val,cosine,1,0.7348958552493162
single_l17,single,1,[3],[17],train_val,cosine,3,0.76159316383175
single_l17,single,1,[3],[17],train_val,cosine,5,0.7692194403534609
single_l17,single,1,[3],[17],train_val,cosine,9,0.7748641343928531
single_l17,single,1,[3],[17],train_val,cosine,15,0.7774032594798427
single_l17,single,1,[3],[17],train_val,cosine,31,0.7791797892828821
single_l17,single,1,[3],[17],train_val,cosine,63,0.7799760475165483
single_l17,single,1,[3],[17],train_val,cosine,127,0.7803615530272379
single_l18,single,1,[4],[18],train,euclidean,1,0.746574309343087
single_l18,single,1,[4],[18],train,euclidean,3,0.7683908138989141
single_l18,single,1,[4],[18],train,euclidean,5,0.7753284565213874
single_l18,single,1,[4],[18],train,euclidean,9,0.7801534253669746
single_l18,single,1,[4],[18],train,euclidean,15,0.7822489439867938
single_l18,single,1,[4],[18],train,euclidean,31,0.7837615109485507
single_l18,single,1,[4],[18],train,euclidean,63,0.784371004547735
single_l18,single,1,[4],[18],train,euclidean,127,0.784692097298872
single_l18,single,1,[4],[18],train,cosine,1,0.7460386152875107
single_l18,single,1,[4],[18],train,cosine,3,0.7699648804803444
single_l18,single,1,[4],[18],train,cosine,5,0.776375892149088
single_l18,single,1,[4],[18],train,cosine,9,0.7807098350839147
single_l18,single,1,[4],[18],train,cosine,15,0.7825815274563435
single_l18,single,1,[4],[18],train,cosine,31,0.7838222013627021
single_l18,single,1,[4],[18],train,cosine,63,0.7843964136011264
single_l18,single,1,[4],[18],train,cosine,127,0.784700513036301
single_l18,single,1,[4],[18],val,euclidean,1,0.7636271828318957
single_l18,single,1,[4],[18],val,euclidean,3,0.7776128437100455
single_l18,single,1,[4],[18],val,euclidean,5,0.7808409263784815
single_l18,single,1,[4],[18],val,euclidean,9,0.7827794591270291
single_l18,single,1,[4],[18],val,euclidean,15,0.7837226690834938
single_l18,single,1,[4],[18],val,euclidean,31,0.7843279548139637
single_l18,single,1,[4],[18],val,euclidean,63,0.7845600349576787
single_l18,single,1,[4],[18],val,euclidean,127,0.7845930505429769
single_l18,single,1,[4],[18],val,cosine,1,0.763232452378255
single_l18,single,1,[4],[18],val,cosine,3,0.7783989059541341
single_l18,single,1,[4],[18],val,cosine,5,0.7811136286394018
single_l18,single,1,[4],[18],val,cosine,9,0.7828284969816633
single_l18,single,1,[4],[18],val,cosine,15,0.7837272006344171
single_l18,single,1,[4],[18],val,cosine,31,0.7842917024065772
single_l18,single,1,[4],[18],val,cosine,63,0.7845287996245287
single_l18,single,1,[4],[18],val,cosine,127,0.7845613296865138
single_l18,single,1,[4],[18],train_val,euclidean,1,0.7407082166728706
single_l18,single,1,[4],[18],train_val,euclidean,3,0.7655051870073961
single_l18,single,1,[4],[18],train_val,euclidean,5,0.773518263768632
single_l18,single,1,[4],[18],train_val,euclidean,9,0.779031866513457
single_l18,single,1,[4],[18],train_val,euclidean,15,0.781620029455081
single_l18,single,1,[4],[18],train_val,euclidean,31,0.7833773001666964
single_l18,single,1,[4],[18],train_val,euclidean,63,0.7842269659648157
single_l18,single,1,[4],[18],train_val,euclidean,127,0.7845885189920536
single_l18,single,1,[4],[18],train_val,cosine,1,0.7401268834258525
single_l18,single,1,[4],[18],train_val,cosine,3,0.7674484131479713
single_l18,single,1,[4],[18],train_val,cosine,5,0.7747338523038082
single_l18,single,1,[4],[18],train_val,cosine,9,0.7796782598844454
single_l18,single,1,[4],[18],train_val,cosine,15,0.7819118289663208
single_l18,single,1,[4],[18],train_val,cosine,31,0.783463399634239
single_l18,single,1,[4],[18],train_val,cosine,63,0.7842191975918044
single_l18,single,1,[4],[18],train_val,cosine,127,0.7845551797245465
single_l19,single,1,[5],[19],train,euclidean,1,0.7501616792632994
single_l19,single,1,[5],[19],train,euclidean,3,0.7718441793846802
single_l19,single,1,[5],[19],train,euclidean,5,0.77847739888977
single_l19,single,1,[5],[19],train,euclidean,9,0.782932560811795
single_l19,single,1,[5],[19],train,euclidean,15,0.7850300215248669
single_l19,single,1,[5],[19],train,euclidean,31,0.7864700836718509
single_l19,single,1,[5],[19],train,euclidean,63,0.787081843046497
single_l19,single,1,[5],[19],train,euclidean,127,0.7873369046270372
single_l19,single,1,[5],[19],train,cosine,1,0.7496468627101911
single_l19,single,1,[5],[19],train,cosine,3,0.7735151887876481
single_l19,single,1,[5],[19],train,cosine,5,0.7795607632426483
single_l19,single,1,[5],[19],train,cosine,9,0.7834713298483549
single_l19,single,1,[5],[19],train,cosine,15,0.7852868633575555
single_l19,single,1,[5],[19],train,cosine,31,0.7865108676301606
single_l19,single,1,[5],[19],train,cosine,63,0.787066629982683
single_l19,single,1,[5],[19],train,cosine,127,0.7873514703264335
single_l19,single,1,[5],[19],val,euclidean,1,0.7676081503180179
single_l19,single,1,[5],[19],val,euclidean,3,0.7808383369208111
single_l19,single,1,[5],[19],val,euclidean,5,0.7838427551829613
single_l19,single,1,[5],[19],val,euclidean,9,0.785685154315493
single_l19,single,1,[5],[19],val,euclidean,15,0.7865953486866594
single_l19,single,1,[5],[19],val,euclidean,31,0.7871935134085355
single_l19,single,1,[5],[19],val,euclidean,63,0.7873822201362701
single_l19,single,1,[5],[19],val,euclidean,127,0.7873744517632588
single_l19,single,1,[5],[19],val,cosine,1,0.7672323552735925
single_l19,single,1,[5],[19],val,cosine,3,0.7814860250206347
single_l19,single,1,[5],[19],val,cosine,5,0.7841415138616906
single_l19,single,1,[5],[19],val,cosine,9,0.7857727103529755
single_l19,single,1,[5],[19],val,cosine,15,0.7865730146142518
single_l19,single,1,[5],[19],val,cosine,31,0.7871679425140397
single_l19,single,1,[5],[19],val,cosine,63,0.7873679781190827
single_l19,single,1,[5],[19],val,cosine,127,0.787357620288401
single_l19,single,1,[5],[19],train_val,euclidean,1,0.7444716697146742
single_l19,single,1,[5],[19],train_val,euclidean,3,0.7692272087264723
single_l19,single,1,[5],[19],train_val,euclidean,5,0.7768865008334818
single_l19,single,1,[5],[19],train_val,euclidean,9,0.782038550551069
single_l19,single,1,[5],[19],train_val,euclidean,15,0.7844053148618686
single_l19,single,1,[5],[19],train_val,euclidean,31,0.7861065885513602
single_l19,single,1,[5],[19],train_val,euclidean,63,0.7868921652721358
single_l19,single,1,[5],[19],train_val,euclidean,127,0.7872433604686918
single_l19,single,1,[5],[19],train_val,cosine,1,0.743900370616129
single_l19,single,1,[5],[19],train_val,cosine,3,0.7711102299762094
single_l19,single,1,[5],[19],train_val,cosine,5,0.7781721665668646
single_l19,single,1,[5],[19],train_val,cosine,9,0.7826603440741879
single_l19,single,1,[5],[19],train_val,cosine,15,0.7846861091780091
single_l19,single,1,[5],[19],train_val,cosine,31,0.7861743999741054
single_l19,single,1,[5],[19],train_val,cosine,63,0.7869190308954668
single_l19,single,1,[5],[19],train_val,cosine,127,0.7872385052355597
single_l20,single,1,[6],[20],train,euclidean,1,0.7539646215345773
single_l20,single,1,[6],[20],train,euclidean,3,0.7742944537053521
single_l20,single,1,[6],[20],train,euclidean,5,0.7803586398873587
single_l20,single,1,[6],[20],train,euclidean,9,0.7840868115684022
single_l20,single,1,[6],[20],train,euclidean,15,0.7858541164284905
single_l20,single,1,[6],[20],train,euclidean,31,0.7873547071485216
single_l20,single,1,[6],[20],train,euclidean,63,0.788091731537976
single_l20,single,1,[6],[20],train,euclidean,127,0.7884943922057324
single_l20,single,1,[6],[20],train,cosine,1,0.7534773179692178
single_l20,single,1,[6],[20],train,cosine,3,0.7758280600106814
single_l20,single,1,[6],[20],train,cosine,5,0.7813800190972504
single_l20,single,1,[6],[20],train,cosine,9,0.784560196798783
single_l20,single,1,[6],[20],train,cosine,15,0.786153360630533
single_l20,single,1,[6],[20],train,cosine,31,0.7874437197559436
single_l20,single,1,[6],[20],train,cosine,63,0.7881147129748014
single_l20,single,1,[6],[20],train,cosine,127,0.7885154315493048
single_l20,single,1,[6],[20],val,euclidean,1,0.7701477609283206
single_l20,single,1,[6],[20],val,euclidean,3,0.7824651637022771
single_l20,single,1,[6],[20],val,euclidean,5,0.7852608069397466
single_l20,single,1,[6],[20],val,euclidean,9,0.7869326255482367
single_l20,single,1,[6],[20],val,euclidean,15,0.7877450678923433
single_l20,single,1,[6],[20],val,euclidean,31,0.7882733172571169
single_l20,single,1,[6],[20],val,euclidean,63,0.7884911553836443
single_l20,single,1,[6],[20],val,euclidean,127,0.7885287025198661
single_l20,single,1,[6],[20],val,cosine,1,0.7697718040427908
single_l20,single,1,[6],[20],val,cosine,3,0.7830018288044798
